Longitude,Latitude
151.211,-33.852
151.229,-33.998
151.154,-34.072
151.299,-33.538
151.613,-33.084
152.095,-32.716
152.79,-31.747
153.048,-30.883
153.139,-30.288
153.36,-29.435
153.43,-29.115
153.553,-28.544
153.431,-27.933
153.268,-27.476
152.853,-25.283
